state,zip_code,population,avg_income,starbucks_count,dunkin_count
AL,36453,870,50226,0,0
AL,36456,650,46320,0,0
AL,36460,3350,52605,0,0
AL,36467,3690,45105,0,0
AL,36471,360,35458,0,0
AL,36474,1100,48385,0,0
AL,36475,710,44894,0,0
AL,36477,1710,44395,0,0
AL,36480,680,50097,0,0
AL,36481,100,31080,0,0
AL,36482,350,34694,0,0
AL,36483,170,39505,0,0
AL,36502,6060,42786,0,0
AL,36505,620,55629,0,0
AL,36507,8040,51207,0,0
AL,36509,750,37508,0,0
AL,36511,370,39327,0,0
AL,36518,1010,64981,0,0
AL,36521,1990,54232,0,0
AL,36522,2720,47463,0,0
AL,36523,990,48982,0,0
AL,36524,410,41948,0,0
AL,36525,810,54818,0,0
AL,36526,15800,76534,1,2
AL,36527,7200,102710,1,0
AL,36528,830,83933,0,0
AL,36529,230,50230,0,0
AL,36530,3390,62428,0,0
AL,36532,14800,95727,0,0
AL,36535,14000,48103,1,0
AL,36538,150,36173,0,0
AL,36539,280,52678,0,0
AL,36540,370,34500,0,0
AL,36541,5790,52726,0,1
AL,36542,6970,64725,1,0
AL,36544,4400,42828,0,0
AL,36545,3520,52088,0,0
AL,36548,480,56702,0,0
AL,36549,2400,57690,0,0
AL,36551,4070,53649,0,0
AL,36553,1250,44096,0,0
AL,36555,600,88046,0,0
AL,36558,1280,55409,0,0
AL,36560,1240,36337,0,0
AL,36561,4160,96785,1,0
AL,36562,730,45615,0,0
AL,36567,5880,48489,0,0
AL,36569,310,54958,0,0
AL,36571,7160,61231,0,0
AL,36572,2960,63473,0,0
AL,36574,560,56732,0,0
AL,36575,8660,52953,0,0
AL,36576,2130,53145,0,0
AL,36578,870,60957,0,0
AL,36579,690,56946,0,0
AL,36580,2720,46937,0,0
AL,36582,9900,53741,0,0
AL,36583,250,56448,0,0
AL,36584,260,53476,0,0
AL,36585,370,49894,0,0
AL,36587,4070,49685,0,0
AL,36602,440,84900,0,0
AL,36603,2390,27372,0,0
AL,36604,3780,62352,1,0
AL,36605,10380,34981,0,0
AL,36606,8030,46211,3,0
AL,36607,2500,62922,0,1
AL,36608,15650,83942,2,1
AL,36609,10280,49079,0,0
AL,36610,3810,22879,0,0
AL,36611,2450,32255,0,0
AL,36612,1540,24944,0,0
AL,36613,4680,38120,0,0
AL,36617,4970,30330,0,0
AL,36618,7560,40933,0,0
AL,36619,6330,59091,0,0
AL,36693,8600,61888,0,0
AL,36695,21810,68589,3,1
AL,36701,8330,42390,0,0
AL,36703,4120,33024,0,0
AL,36720,300,26300,0,0
AL,36722,130,35746,0,0
AL,36726,1810,42876,0,0
AL,36728,230,42373,0,0
AL,36732,3300,52394,0,0
AL,36736,480,39427,0,0
AL,36738,350,37260,0,0
AL,36740,450,35831,0,0
AL,36742,920,54771,0,0
AL,36744,2530,38367,0,0
AL,36748,1220,47247,0,0
AL,36749,360,40563,0,0
AL,36750,1170,49665,0,0
AL,36751,310,28909,0,0
AL,36752,710,55633,0,0
AL,36756,1950,39068,0,0
AL,36758,480,47129,0,0
AL,36759,580,35431,0,0
AL,36761,380,37102,0,0
AL,36765,460,33236,0,0
AL,36767,710,30466,0,0
AL,36768,300,34410,0,0
AL,36769,1060,36450,0,0
AL,36773,130,29176,0,0
AL,36775,290,45410,0,0
AL,36776,600,30740,0,0
AL,36782,860,46112,0,0
AL,36783,320,48303,0,0
AL,36784,3060,49808,0,0
AL,36785,460,40745,0,0
AL,36786,1130,27235,0,0
AL,36790,100,65830,0,0
AL,36792,480,50058,0,0
AL,36793,210,47352,0,0
AL,36801,9790,57122,3,1
AL,36804,8240,50648,0,0
AL,36830,16600,89493,1,0
AL,36832,8490,50612,0,1
AL,36850,1040,35199,0,0
AL,36852,990,39014,0,0
AL,36853,3580,73181,0,0
AL,36854,6650,43510,0,1
AL,36855,490,47414,0,0
AL,36856,2960,47075,0,0
AL,36858,210,38561,0,0
AL,36860,580,31287,0,0
AL,36861,1290,67954,0,0
AL,36862,2290,40021,0,0
AL,36863,4620,40404,0,0
AL,36866,1590,42772,0,0
AL,36867,8660,47249,0,1
AL,36869,7970,35525,0,0
AL,36870,7560,47417,0,0
AL,36871,430,46813,0,0
AL,36874,3660,59873,0,0
AL,36875,1880,48058,0,0
AL,36877,5060,55365,0,0
AL,36879,1060,82606,0,0
AL,36904,1450,52735,0,0
AL,36907,630,36969,0,0
AL,36908,870,57536,0,0
AL,36912,660,37109,0,0
AL,36915,220,46750,0,0
AL,36916,200,49220,0,0
AL,36919,740,44782,0,0
AL,36921,380,55389,0,0
AL,36922,220,36118,0,0
AL,36925,1130,29775,0,0
AR,71601,5060,31293,0,0
AR,71602,6560,52007,0,0
AR,71603,12120,46753,0,0
AR,71631,220,36177,0,0
AR,71635,4480,47733,0,0
AR,71638,1020,36498,0,0
AR,71639,2350,43785,0,0
AR,71640,940,33311,0,0
AR,71642,210,55542,0,0
AR,71643,410,35682,0,0
AR,71644,290,43251,0,0
AR,71646,2390,49256,0,0
AR,71647,580,43298,0,0
AR,71652,380,41923,0,0
AR,71653,1830,57991,0,0
AR,71654,1680,47935,0,0
AR,71655,5210,52735,0,0
AR,71658,200,35975,0,0
AR,71660,340,47364,0,0
AR,71663,250,76928,0,0
AR,71665,2160,55554,0,0
AR,71667,2790,49047,0,0
AR,71670,490,45038,0,0
AR,71671,3170,44629,0,0
AR,71674,240,42841,0,0
AR,71675,690,48501,0,0
AR,71676,190,38257,0,0
AR,71701,7170,47791,0,0
AR,71720,870,44496,0,0
AR,71725,180,36444,0,0
AR,71726,410,39124,0,0
AR,71730,12740,63483,0,0
AR,71740,600,51070,0,0
AR,71742,1890,42337,0,0
AR,71743,1470,42134,0,0
AR,71744,1170,51617,0,0
AR,71747,310,39596,0,0
AR,71749,1020,52544,0,0
